Wall time,Step,Value
1602851357.461265,0,17.969966888427734
1602851360.508827,1,17.685073852539062
1602851361.626899,2,17.397308349609375
1602851362.747656,3,17.1000919342041
1602851363.876884,4,16.786664962768555
1602851364.996796,5,16.48552894592285
1602851366.112249,6,16.26702117919922
1602851367.240303,7,15.995512008666992
1602851368.368195,8,15.72107219696045
1602851369.493354,9,15.472152709960938
1602851370.614501,10,15.234785079956055
1602851371.944315,11,14.9932222366333
1602851373.060198,12,14.74683952331543
1602851374.185911,13,14.510658264160156
1602851375.310549,14,14.289697647094727
1602851376.438849,15,14.06471061706543
1602851377.557214,16,13.836408615112305
1602851378.68195,17,13.61497974395752
1602851379.802459,18,13.400751113891602
1602851380.928643,19,13.187939643859863
1602851382.049252,20,12.971570014953613
1602851383.385985,21,12.759711265563965
1602851384.512311,22,12.556113243103027
1602851385.639074,23,12.351953506469727
1602851386.746125,24,12.143277168273926
1602851387.362974,25,11.937906265258789
1602851387.975453,26,11.739113807678223
1602851388.592868,27,11.531784057617188
1602851389.202027,28,11.340703010559082
1602851389.820698,29,11.15208625793457
1602851390.437054,30,10.971753120422363
1602851391.254856,31,10.826560974121094
1602851391.86577,32,10.622976303100586
1602851392.48307,33,10.475436210632324
1602851393.117806,34,10.29078483581543
1602851393.819913,35,10.126877784729004
1602851394.492563,36,9.950177192687988
1602851395.124267,37,9.805877685546875
1602851395.749404,38,9.640159606933594
1602851396.374485,39,9.494027137756348
1602851396.991145,40,9.343155860900879
1602851397.81509,41,9.190550804138184
1602851398.433963,42,9.049729347229004
1602851399.092546,43,8.901609420776367
1602851399.759083,44,8.761711120605469
1602851400.393903,45,8.620305061340332
1602851401.013326,46,8.483681678771973
1602851401.634121,47,8.349743843078613
1602851402.247776,48,8.22230052947998
1602851403.377532,49,8.086976051330566
1602851403.987646,50,7.9639387130737305
1602851404.804071,51,7.834323883056641
1602851405.422883,52,7.709418296813965
1602851406.037788,53,7.592929840087891
1602851406.668798,54,7.466132164001465
1602851407.3152,55,7.3576979637146
1602851407.965007,56,7.247248649597168
1602851408.650104,57,7.124974727630615
1602851409.375606,58,7.018791198730469
1602851410.088816,59,6.899716377258301
1602851410.806807,60,6.802289009094238
1602851411.745708,61,6.683548927307129
1602851412.471646,62,6.578001499176025
1602851413.177792,63,6.504535675048828
1602851413.807516,64,6.376894474029541
1602851414.419337,65,6.292136192321777
1602851415.040867,66,6.198948860168457
1602851415.665648,67,6.099202632904053
1602851416.293682,68,6.007594108581543
1602851416.923664,69,5.910606861114502
1602851417.549616,70,5.827106952667236
1602851418.416049,71,5.7294158935546875
1602851419.088603,72,5.654202461242676
1602851419.750916,73,5.5514326095581055
1602851420.413462,74,5.481863021850586
1602851421.04578,75,5.3866286277771
1602851421.705993,76,5.3062849044799805
1602851422.361003,77,5.2173237800598145
1602851423.0212,78,5.142423152923584
1602851423.672835,79,5.054171562194824
1602851424.320403,80,4.9857635498046875
1602851425.204262,81,4.917239665985107
1602851425.904101,82,4.87499475479126
1602851426.560576,83,4.796342849731445
1602851427.190972,84,4.696460723876953
1602851427.809718,85,4.655608177185059
1602851428.423963,86,4.54954719543457
1602851429.036106,87,4.499511241912842
1602851429.653395,88,4.421627998352051
1602851430.269329,89,4.35861873626709
1602851430.92708,90,4.289034843444824
1602851431.847327,91,4.23722505569458
1602851432.510073,92,4.163585186004639
1602851433.132681,93,4.107685565948486
1602851433.746938,94,4.044949054718018
1602851434.359067,95,3.9774811267852783
1602851434.976747,96,3.9218926429748535
1602851435.630679,97,3.8638195991516113
1602851436.291898,98,3.804503917694092
1602851437.513625,99,3.7501919269561768
1602851438.153987,100,3.689774751663208
1602851439.055528,101,3.6364662647247314
1602851439.747493,102,3.580029249191284
1602851440.413673,103,3.525099992752075
1602851441.095349,104,3.481557846069336
1602851441.773249,105,3.438613176345825
1602851442.433552,106,3.388995409011841
1602851443.050531,107,3.3331329822540283
1602851443.66498,108,3.2809574604034424
1602851444.287163,109,3.2326102256774902
1602851444.90255,110,3.1917665004730225
1602851445.728913,111,3.150359630584717
1602851446.356004,112,3.095508575439453
1602851446.972872,113,3.045098066329956
1602851447.608502,114,3.0121235847473145
1602851448.259159,115,2.9686996936798096
1602851448.908237,116,2.9137747287750244
1602851449.561489,117,2.881657838821411
1602851450.191173,118,2.8591225147247314
1602851450.853965,119,2.803400993347168
1602851451.50022,120,2.7565550804138184
1602851452.344101,121,2.723285675048828
1602851452.955601,122,2.6907129287719727
1602851453.571939,123,2.654508113861084
1602851454.182728,124,2.619080066680908
1602851454.847686,125,2.5720672607421875
1602851455.462217,126,2.5311570167541504
1602851456.086806,127,2.517343044281006
1602851456.768962,128,2.470458984375
1602851457.391605,129,2.427793264389038
1602851458.022356,130,2.404231071472168
1602851458.893513,131,2.3665316104888916
1602851459.513792,132,2.3245298862457275
1602851460.13498,133,2.3017663955688477
1602851460.763034,134,2.274052858352661
1602851461.410669,135,2.2338485717773438
1602851462.069029,136,2.2140188217163086
1602851462.709819,137,2.175265312194824
1602851463.40085,138,2.1428630352020264
1602851464.025774,139,2.1199240684509277
1602851464.666541,140,2.0892229080200195
1602851465.554963,141,2.0557408332824707
1602851466.203487,142,2.035574197769165
1602851466.852584,143,2.0188097953796387
1602851467.496084,144,1.9864314794540405
1602851468.111029,145,1.9554798603057861
1602851468.727418,146,1.9281028509140015
1602851469.353266,147,1.8983713388442993
1602851469.966712,148,1.8719227313995361
1602851471.08149,149,1.8532636165618896
1602851471.696968,150,1.82290518283844
1602851472.511928,151,1.8017393350601196
1602851473.129499,152,1.7863190174102783
1602851473.777783,153,1.7501440048217773
1602851474.427855,154,1.7224552631378174
1602851475.042085,155,1.6985423564910889
1602851475.656503,156,1.682037353515625
1602851476.272563,157,1.6557098627090454
1602851476.897916,158,1.6398813724517822
1602851477.513867,159,1.625622034072876
1602851478.131151,160,1.597230315208435
1602851478.959843,161,1.5819833278656006
1602851479.583766,162,1.5614250898361206
1602851480.257281,163,1.5291483402252197
1602851480.885289,164,1.5073033571243286
1602851481.502027,165,1.4987972974777222
1602851482.120819,166,1.4813640117645264
1602851482.794543,167,1.4649937152862549
1602851483.504926,168,1.4438214302062988
1602851484.141138,169,1.4167487621307373
1602851484.765805,170,1.394189715385437
1602851485.587953,171,1.3850204944610596
1602851486.200138,172,1.3732054233551025
1602851486.811925,173,1.34854257106781
1602851487.428871,174,1.324738621711731
1602851488.043891,175,1.3227851390838623
1602851488.659772,176,1.303086519241333
1602851489.276102,177,1.2947998046875
1602851489.893508,178,1.2749556303024292
1602851490.506163,179,1.2646491527557373
1602851491.117213,180,1.240614891052246
1602851491.936213,181,1.219416856765747
1602851492.553297,182,1.2059838771820068
1602851493.163397,183,1.2023502588272095
1602851493.773001,184,1.1729910373687744
1602851494.390003,185,1.1585853099822998
1602851495.016294,186,1.1619009971618652
1602851495.633176,187,1.1504305601119995
1602851496.268708,188,1.1234544515609741
1602851497.008465,189,1.1115717887878418
1602851497.755426,190,1.092484951019287
1602851498.714569,191,1.0790983438491821
1602851499.388603,192,1.0642566680908203
1602851500.004948,193,1.0556143522262573
1602851500.621086,194,1.046147108078003
1602851501.234725,195,1.0346640348434448
1602851501.845145,196,1.0218462944030762
1602851502.455896,197,1.0145269632339478
1602851503.0683,198,1.008690595626831
1602851504.195685,199,0.9874062538146973
1602851504.805023,200,0.9761015772819519
1602851505.631953,201,0.9612285494804382
1602851506.244786,202,0.9509794116020203
1602851506.856526,203,0.9417230486869812
1602851507.469725,204,0.9426349401473999
1602851508.136495,205,0.9289104342460632
1602851509.066871,206,0.9151819944381714
1602851509.682747,207,0.8960973620414734
1602851510.297531,208,0.8841742277145386
1602851510.919129,209,0.8788745999336243
1602851511.534751,210,0.8752161264419556
1602851512.353978,211,0.8694950342178345
1602851512.970272,212,0.8524521589279175
1602851513.591713,213,0.8516475558280945
1602851514.207541,214,0.834093451499939
1602851514.826133,215,0.823521614074707
1602851515.441822,216,0.8220444917678833
1602851516.063444,217,0.8132149577140808
1602851516.68045,218,0.794912576675415
1602851517.29859,219,0.7887026071548462
1602851517.913866,220,0.7931102514266968
1602851518.742609,221,0.7724330425262451
1602851519.3567,222,0.7645969390869141
1602851519.972648,223,0.7720819711685181
1602851520.588555,224,0.7659657001495361
1602851521.211236,225,0.7396727800369263
1602851521.826203,226,0.7519663572311401
1602851522.443231,227,0.7348073720932007
1602851523.055546,228,0.7328609228134155
1602851523.676887,229,0.7249667644500732
1602851524.33673,230,0.716650128364563
1602851525.170931,231,0.712092936038971
1602851525.785625,232,0.7026024460792542
1602851526.403512,233,0.7023851871490479
1602851527.02248,234,0.6814879179000854
1602851527.639069,235,0.6908637285232544
1602851528.253802,236,0.6693054437637329
1602851528.880771,237,0.6729622483253479
1602851529.4986,238,0.6512665748596191
1602851530.183507,239,0.6647512912750244
1602851530.798333,240,0.6461342573165894
1602851531.636073,241,0.6427679657936096
1602851532.252423,242,0.6298596262931824
1602851532.86823,243,0.6270326375961304
1602851533.481219,244,0.6190990209579468
1602851534.0991,245,0.6288597583770752
1602851534.719512,246,0.6181776523590088
1602851535.337975,247,0.6033847332000732
1602851535.957818,248,0.5979739427566528
1602851537.155015,249,0.5978987216949463
1602851537.772997,250,0.5883477926254272
1602851538.596866,251,0.5832103490829468
1602851539.219675,252,0.5756105780601501
1602851539.901911,253,0.5824357271194458
1602851540.516834,254,0.5656131505966187
1602851541.142107,255,0.5543763637542725
1602851541.824523,256,0.5595477223396301
1602851542.453277,257,0.5500518083572388
1602851543.09813,258,0.5409075021743774
1602851543.736009,259,0.5419300198554993
1602851544.362046,260,0.5361236333847046
1602851545.189854,261,0.5323847532272339
1602851545.805679,262,0.5380305051803589
1602851546.420008,263,0.5317189693450928
1602851547.040205,264,0.5216100215911865
1602851547.653799,265,0.5073894262313843
1602851548.271393,266,0.5064562559127808
1602851548.904749,267,0.5053452253341675
1602851549.527032,268,0.5103127360343933
1602851550.143472,269,0.5015109777450562
1602851550.758101,270,0.4974070191383362
1602851551.574401,271,0.5048331618309021
1602851552.218393,272,0.48157185316085815
1602851552.851209,273,0.4966585040092468
1602851553.475441,274,0.4793356955051422
1602851554.087006,275,0.47369569540023804
1602851554.706202,276,0.4819898009300232
1602851555.322242,277,0.4680057466030121
1602851555.943559,278,0.46676596999168396
1602851556.556333,279,0.4651046693325043
1602851557.176077,280,0.4561120867729187
1602851557.996613,281,0.4528750479221344
1602851558.612491,282,0.44981566071510315
1602851559.227586,283,0.4512161314487457
1602851559.845053,284,0.45358410477638245
1602851560.459108,285,0.44682320952415466
1602851561.070374,286,0.4369308352470398
1602851561.685844,287,0.43144407868385315
1602851562.309247,288,0.4278424382209778
1602851562.926007,289,0.43271344900131226
1602851563.547629,290,0.4336300790309906
