Wall time,Step,Value
1602850612.84491,0,18.087051391601562
1602850616.219658,1,17.811594009399414
1602850617.444992,2,17.538860321044922
1602850618.680546,3,17.26514434814453
1602850620.036106,4,16.988157272338867
1602850621.303784,5,16.703479766845703
1602850622.536801,6,16.4071102142334
1602850623.775271,7,16.102291107177734
1602850625.093523,8,15.863798141479492
1602850626.452544,9,15.636027336120605
1602850627.756929,10,15.364588737487793
1602850629.324916,11,15.112133979797363
1602850630.592262,12,14.881063461303711
1602850631.855688,13,14.655532836914062
1602850633.057069,14,14.4242525100708
1602850634.275763,15,14.187398910522461
1602850635.528346,16,13.956360816955566
1602850636.83155,17,13.740335464477539
1602850638.016323,18,13.529648780822754
1602850639.184613,19,13.311540603637695
1602850640.353186,20,13.092973709106445
1602850641.805693,21,12.881387710571289
1602850643.020389,22,12.677319526672363
1602850644.165224,23,12.469993591308594
1602850645.365492,24,12.262069702148438
1602850645.998436,25,12.057401657104492
1602850646.645069,26,11.859625816345215
1602850647.306122,27,11.671010971069336
1602850648.00832,28,11.480083465576172
1602850648.688137,29,11.275739669799805
1602850649.458417,30,11.089548110961914
1602850650.415886,31,10.894427299499512
1602850651.067981,32,10.70798110961914
1602850651.691733,33,10.528696060180664
1602850652.324056,34,10.349573135375977
1602850652.986035,35,10.197062492370605
1602850653.6102,36,10.041035652160645
1602850654.27134,37,9.880762100219727
1602850654.901415,38,9.721160888671875
1602850655.550456,39,9.544144630432129
1602850656.188255,40,9.395716667175293
1602850657.018515,41,9.243247985839844
1602850657.648587,42,9.103857040405273
1602850658.275095,43,8.950639724731445
1602850658.903159,44,8.819561004638672
1602850659.528781,45,8.66971206665039
1602850660.157495,46,8.538275718688965
1602850660.783024,47,8.391202926635742
1602850661.404108,48,8.25883674621582
1602850662.545191,49,8.131291389465332
1602850663.189023,50,8.00033950805664
1602850664.038404,51,7.885286331176758
1602850664.692061,52,7.756170749664307
1602850665.386558,53,7.624613285064697
1602850666.026915,54,7.503772735595703
1602850666.651732,55,7.396890163421631
1602850667.277005,56,7.277072429656982
1602850667.908598,57,7.156905651092529
1602850668.537877,58,7.040771484375
1602850669.164288,59,6.928100109100342
1602850669.793514,60,6.827018737792969
1602850670.630289,61,6.736541271209717
1602850671.254933,62,6.626809597015381
1602850671.878937,63,6.509048938751221
1602850672.504489,64,6.418140411376953
1602850673.136764,65,6.342459678649902
1602850673.759788,66,6.216339588165283
1602850674.386771,67,6.128178596496582
1602850675.038835,68,6.040782928466797
1602850675.709629,69,5.933820724487305
1602850676.477422,70,5.8576459884643555
1602850677.463682,71,5.767343521118164
1602850678.203688,72,5.666881561279297
1602850678.96054,73,5.590883255004883
1602850679.704169,74,5.513826847076416
1602850680.428431,75,5.427964210510254
1602850681.086177,76,5.3386454582214355
1602850681.762474,77,5.253244400024414
1602850682.432294,78,5.174915313720703
1602850683.09914,79,5.111222743988037
1602850683.832164,80,5.033823013305664
1602850684.835588,81,4.942163467407227
1602850685.605613,82,4.866492748260498
1602850686.368777,83,4.792845726013184
1602850687.118122,84,4.732245445251465
1602850687.78669,85,4.701639652252197
1602850688.508616,86,4.604101657867432
1602850689.268864,87,4.5813798904418945
1602850689.953318,88,4.460967063903809
1602850690.628783,89,4.479030609130859
1602850691.291483,90,4.379520893096924
1602850692.160415,91,4.313851356506348
1602850692.820652,92,4.264938831329346
1602850693.495768,93,4.144752025604248
1602850694.160989,94,4.124719619750977
1602850694.821676,95,4.03194522857666
1602850695.48791,96,4.001384735107422
1602850696.181423,97,3.9307844638824463
1602850696.843147,98,3.8703575134277344
1602850698.089178,99,3.816225528717041
1602850698.727132,100,3.754288673400879
1602850699.569543,101,3.6994972229003906
1602850700.21065,102,3.646225690841675
1602850700.845489,103,3.5908164978027344
1602850701.514848,104,3.542330741882324
1602850702.212655,105,3.4796533584594727
1602850702.902079,106,3.4424476623535156
1602850703.533679,107,3.380634069442749
1602850704.167412,108,3.337293863296509
1602850704.794713,109,3.2875771522521973
1602850705.419273,110,3.2366034984588623
1602850706.244668,111,3.1934313774108887
1602850706.941187,112,3.1433870792388916
1602850707.603335,113,3.101483106613159
1602850708.23073,114,3.07810378074646
1602850708.866358,115,3.0222795009613037
1602850709.493736,116,2.9707016944885254
1602850710.119221,117,2.9534051418304443
1602850710.746864,118,2.8881702423095703
1602850711.372433,119,2.8533401489257812
1602850712.007489,120,2.8156917095184326
1602850712.838776,121,2.772350311279297
1602850713.465708,122,2.7386021614074707
1602850714.093509,123,2.6889357566833496
1602850714.728707,124,2.6575567722320557
1602850715.35795,125,2.6199147701263428
1602850715.983745,126,2.583965301513672
1602850716.608406,127,2.553332805633545
1602850717.241828,128,2.506204605102539
1602850717.868001,129,2.4761178493499756
1602850718.49427,130,2.438279151916504
1602850719.329474,131,2.4054808616638184
1602850719.962489,132,2.375066041946411
1602850720.590961,133,2.3438830375671387
1602850721.21584,134,2.3127386569976807
1602850721.841616,135,2.2813186645507812
1602850722.472487,136,2.2449655532836914
1602850723.098511,137,2.211841106414795
1602850723.723234,138,2.181244373321533
1602850724.349469,139,2.147698402404785
1602850724.98288,140,2.122433662414551
1602850725.817836,141,2.095120906829834
1602850726.443602,142,2.065021514892578
1602850727.069849,143,2.050260305404663
1602850727.703144,144,2.0219979286193848
1602850728.328189,145,1.9950706958770752
1602850728.95959,146,1.955671787261963
1602850729.583537,147,1.940242886543274
1602850730.215595,148,1.9105767011642456
1602850731.351852,149,1.8867350816726685
1602850731.977582,150,1.862572193145752
1602850732.812,151,1.8395928144454956
1602850733.439359,152,1.8136886358261108
1602850734.098307,153,1.7894947528839111
1602850734.748644,154,1.759048581123352
1602850735.379634,155,1.7440495491027832
1602850736.00866,156,1.7233479022979736
1602850736.63493,157,1.6979323625564575
1602850737.260563,158,1.6671452522277832
1602850737.909289,159,1.646155595779419
1602850738.550998,160,1.6319328546524048
1602850739.381052,161,1.6231372356414795
1602850740.007241,162,1.5880374908447266
1602850740.637258,163,1.5623749494552612
1602850741.266561,164,1.551080584526062
1602850741.893437,165,1.5456340312957764
1602850742.523763,166,1.512598991394043
1602850743.155502,167,1.4892874956130981
1602850743.78997,168,1.4956276416778564
1602850744.452858,169,1.4572649002075195
1602850745.07908,170,1.442204475402832
1602850745.91749,171,1.4460175037384033
1602850746.54881,172,1.3963574171066284
1602850747.182188,173,1.4226853847503662
1602850747.82251,174,1.373020887374878
1602850748.490512,175,1.375099539756775
1602850749.116166,176,1.3385652303695679
1602850749.741732,177,1.3259553909301758
1602850750.366279,178,1.315566062927246
1602850750.998264,179,1.2918224334716797
1602850751.623507,180,1.2898743152618408
1602850752.456853,181,1.2576059103012085
1602850753.081436,182,1.2492824792861938
1602850753.789778,183,1.2367172241210938
1602850754.416217,184,1.211065649986267
1602850755.039583,185,1.21458101272583
1602850755.665415,186,1.1844494342803955
1602850756.297426,187,1.181602120399475
1602850756.925503,188,1.160860300064087
1602850757.553562,189,1.152594804763794
1602850758.180019,190,1.141308069229126
1602850759.023285,191,1.1183998584747314
1602850759.647875,192,1.113869547843933
1602850760.274112,193,1.096273422241211
1602850760.951693,194,1.0786566734313965
